from,to,meters,highway,surface,incline,sidewalk,maxspeed,name
osm8427622067,osm7802553668,34.71,tertiary,,,,30 mph,Nob Hill Road
osm7802553668,osm8427622067,34.71,tertiary,,,,30 mph,Nob Hill Road
osm7802553668,osm7802553659,75.82,tertiary,,,,30 mph,Nob Hill Road
osm7802553659,osm7802553668,75.82,tertiary,,,,30 mph,Nob Hill Road
osm7802553659,osm53280177,62.17,tertiary,,,,30 mph,Nob Hill Road
osm53280177,osm7802553659,62.17,tertiary,,,,30 mph,Nob Hill Road
osm53280260,osm3252896273,40.31,service,,,,,
osm3252896273,osm53280260,40.31,service,,,,,
osm3252896273,osm53280262,7.97,service,,,,,
osm53280262,osm3252896273,7.97,service,,,,,
osm53280262,osm13458870765,8.91,service,,,,,
osm13458870765,osm53280262,8.91,service,,,,,
osm13458870765,osm53280263,38.41,service,,,,,
osm53280263,osm13458870765,38.41,service,,,,,
osm53280266,osm10108049626,9.77,service,,,,,
osm10108049626,osm53280266,9.77,service,,,,,
osm10108049626,osm2822096394,19.04,service,,,,,
osm2822096394,osm10108049626,19.04,service,,,,,
osm2822096394,osm2822096394,111.53,service,,,,,
osm2822096394,osm2822096394,111.53,service,,,,,
osm53280283,osm3750105406,8.0,service,,,,,
osm3750105406,osm53280283,8.0,service,,,,,
osm3750105406,osm53280307,397.83,service,,,,,
osm53280307,osm3750105406,397.83,service,,,,,
osm53280307,osm53280308,7.55,service,,,,,
osm53280308,osm53280307,7.55,service,,,,,
osm53280896,osm53280897,86.39,service,,,,,
osm53280897,osm53280896,86.39,service,,,,,
osm53280897,osm13453130528,146.41,service,,,,,
osm13453130528,osm53280897,146.41,service,,,,,
osm13453130528,osm53280921,125.4,service,,,,,
osm53280921,osm13453130528,125.4,service,,,,,
osm53280921,osm53280927,227.64,service,,,,,
osm53280927,osm53280921,227.64,service,,,,,
osm1420820708,osm53281086,134.04,service,asphalt,,,,
osm53281086,osm1420820708,134.04,service,asphalt,,,,
osm53281086,osm53281091,59.2,service,asphalt,,,,
osm53281091,osm53281086,59.2,service,asphalt,,,,
osm53281123,osm53281143,114.53,service,asphalt,,,,
osm53281143,osm53281123,114.53,service,asphalt,,,,
osm53281143,osm53281185,208.3,service,asphalt,,,,
osm53281185,osm53281143,208.3,service,asphalt,,,,
osm53281192,osm53281204,86.37,service,asphalt,,,,
